customer_id,Recency,Frequency,Monetary
0ID61,204,1,18241
0IDZE,249,1,16592
0IETQ,258,1,5643
0IJA0,14,1,7894
0IJAI,289,1,7794
0IJGV,328,1,19591
0IMHK,301,1,18090
0IOGM,29,1,22591
0IOU6,241,1,11643
0IUD8,327,1,17792
0IV2O,64,1,7995
0J1AJ,250,1,2248
0J3OY,48,1,21340
0J7CE,185,1,13093
0JAE7,239,1,39894
0JEY0,335,1,39182
0JIHZ,231,1,39593
0JLRP,18,1,12093
0JTPR,141,1,21673
0JXSC,198,1,4077
0KCUU,124,1,21594
0KE2N,176,1,11795
0KFK6,307,1,2652
0KL1B,303,1,908
0KPQQ,160,1,696
0KPT6,28,1,8640
0KRFV,81,1,29192
0KRL2,223,1,15992
0KROX,358,1,2170
0KS0E,294,1,14044
0KTPV,271,1,8694
0KWA8,70,1,13493
0KYMA,309,1,9495
0L5RA,61,1,24443
0L601,96,1,52391
0L799,250,1,13732
0LBQC,40,1,48441
0LEO3,104,1,14690
0LH32,326,1,15340
0LN53,248,1,13741
0LSUY,349,1,1194
0LUHX,14,1,14792
0LUV0,239,1,24395
0LUX6,143,1,9216
0M7ZG,294,1,34293
0M9D7,174,1,2087
0MCXB,16,1,5080
0MDI0,297,1,14191
0MFHC,245,1,24294
0MI0I,122,1,9241
0MIL5,264,1,28144
0MMJO,91,1,9842
0MPIQ,98,1,15894
0MPZ1,208,1,48795
0MR8J,39,1,10195
0MS1Y,117,1,12095
0N0YN,68,1,45411
0N29L,264,1,6794
0N2VQ,91,1,11095
0N347,165,1,22494
0N5XL,194,1,17692
0N8XY,39,1,15492
0NAKT,39,1,2445
0NC7D,146,1,11292
0NDTD,204,1,14790
0NHYA,315,1,10344
0NJTX,320,1,9476
0NUM5,148,1,14692
0NVXR,95,1,5742
0O04Q,280,1,24291
0O1MS,208,1,8095
0O5W6,80,1,48440
0O5WF,331,1,554
0O65M,198,1,11790
0OA4S,307,1,1794
0OBLK,173,1,10144
0ODNF,219,1,6694
0OEZZ,250,1,1895
0OJIA,24,1,17241
0OM07,285,1,19742
0OM1H,317,1,6649
0OMD0,48,1,15491
0ONAL,87,1,4498
0OQBR,199,1,48291
0OTBA,328,1,23892
0OXWM,34,1,21495
0OYZD,109,1,7192
0OZ1L,33,1,14323
0P0OE,83,1,2282
0PA5S,198,1,8995
0PD0Y,57,1,55990
0PJQM,282,1,392
0PMTK,345,1,20141
0PMY9,207,1,10591
0PQG9,93,1,10492
0PQXD,201,1,7940
0PS9L,98,1,7043
0PVBC,73,1,30192
0PVGG,21,1,5401
0PZ5R,118,1,17491
0Q07R,282,1,549
0Q0PK,207,1,2870
0Q2NL,247,1,9695
0Q55A,65,1,44495
0Q5AK,210,1,13044
0QAQB,358,1,5393
0QEOV,192,1,22291
0QFCI,209,1,6195
0QHEZ,331,1,14993
0QJ2B,137,1,18091
0QJDX,12,1,14491
0QK2N,294,1,24192
0QKLL,174,1,13790
0QKU7,203,1,12991
0QRQF,155,1,18332
0QTRW,239,1,7895
0QVE5,41,1,4740
0QWN6,75,1,15594
0QX2Y,191,1,24995
0R02H,258,1,939
0R2KK,166,1,10553
0R3HY,195,1,12693
0R44V,233,1,19891
0R4D5,355,1,13542
0R59S,142,1,17794
0RASO,342,1,24091
0RB37,164,1,6194
0RE4I,276,1,11594
0RE8G,297,1,3395
0REHQ,232,1,5762
0RG9K,67,1,1004
0RJVB,200,1,7201
0RXTJ,353,1,9090
0S03K,248,1,11595
0S1WW,15,1,26991
0S4F9,279,1,14192
0S6LS,294,1,17791
0S7DL,28,1,9995
0S7YW,122,1,24492
0SEY2,199,1,5913
0SJ1D,357,1,3995
0SLZB,202,1,10842
0SPJY,118,1,6195
0SRJ8,167,1,5294
0SSTZ,304,1,5440
0SX7C,172,1,19640
0SYQ5,318,1,3612
0T2HM,282,1,3744
0T2N8,221,1,19790
0T3K8,304,1,28766
0T3XS,339,1,14145
0TAK8,78,1,2816
0TKXN,323,1,5567
0TOQQ,256,1,14491
0TP6F,227,1,32440
0TTUY,196,1,9194
0TU5X,47,1,8792
0TV5F,209,1,22391
0TVJM,40,1,36091
0TXZC,18,1,1945
0U28N,201,1,15341
0U38F,286,1,7443
0U53A,56,1,18891
0U6V4,83,1,20790
0U8QF,95,1,9195
0UCDX,146,1,9090
0UCNX,69,1,10992
0UEJS,121,1,15191
0UJ81,206,1,20040
0UJWL,125,1,9240
0UL65,10,1,509
0UNQK,28,1,7291
0UUS3,321,1,7491
0UWG8,42,1,8511
0UWZ2,27,1,25423
0V2CO,52,1,4162
0V6SZ,96,1,12342
0VEBV,91,1,8091
0VERO,206,1,3463
0VGBX,96,1,6695
0VIKR,71,1,3893
0VJDZ,262,1,5195
0VM4Y,198,1,7293
0VP42,350,1,9192
0VPNU,307,1,6501
0VVQ6,15,1,21391
0VYP8,311,1,6390
0W8FF,120,1,8890
0WB49,347,1,11194
0WJUH,68,1,3372
0WJWC,180,1,22223
0WKE7,335,1,7330
0WM4W,171,1,1615
0WN4T,277,1,18622
0WQJD,143,1,13393
0WTHA,276,1,19090
0WVE6,118,1,14493
0WWEV,83,1,8567
0X06Z,183,1,10390
0X0EI,337,1,9993
0X1HH,60,1,6424
0X1VU,345,1,5393
0X2JX,42,1,7392
0X580,136,1,17190
0X77X,263,1,5540
0X8SS,294,1,7842
0X9V9,43,1,34292
0XA46,187,1,16791
0XB3Q,11,1,25293
0XDJZ,75,1,11993
0XG4M,286,1,17394
0XIOY,93,1,34040
0XJ3S,326,1,4243
0XLCI,354,1,15791
0XLIQ,49,1,12214
0XNU3,9,1,21690
0XOS2,255,1,8709
0XPDO,23,1,11142
0Y3YE,227,1,6745
0Y46A,339,1,21142
0Y64W,362,1,6042
0Y69A,48,1,13842
0Y6AJ,317,1,34690
0Y8LH,129,1,8393
0Y9EK,34,1,2763
0YBKC,255,1,10443
0YCVV,39,1,606
0YCXH,50,1,6194
0YDXE,224,1,15281
0YG3K,230,1,7140
0YLXH,258,1,620
0YNOE,111,1,10491
0YTI5,227,1,7795
0YUTW,98,1,24690
0Z6E8,163,1,1815
0Z6JP,287,1,15791
0ZDHC,184,1,8395
0ZEEM,54,1,15641
0ZNKD,254,1,10145
0ZPP6,110,1,6694
0ZQ8E,355,1,3193
0ZSK2,358,1,1317
0ZSOI,307,1,15795
0ZZ3X,56,1,6544
0ZZUL,213,1,3294
1.10E+49,3,1,4344
1.40E+91,321,1,15493
103LG,41,1,2905
10458,330,1,9990
107PQ,184,1,17991
10BGF,193,1,2217
10BRP,112,1,1760
10IQV,270,1,3379
10NN9,26,1,16807
10OH4,179,1,4991
10QPN,350,1,8795
10RGQ,350,1,3394
10RVR,24,1,7742
10SY7,68,1,15193
10W63,284,1,44290
1113H,346,1,49591
1113U,346,1,19693
111TH,104,1,33992
1140H,143,1,13395
1148S,314,1,2641
118C2,173,1,17493
119C0,48,1,9892
11A2N,184,1,12945
11C7X,111,1,5895
11K9I,96,1,605
11KMI,307,1,4941
11MVO,123,1,6841
11QXZ,262,1,6895
11U36,159,1,49211
11U78,232,1,6444
120YM,152,1,44491
121GU,60,1,20490
12534,257,1,49840
12EK6,140,1,10195
12GJJ,144,1,18991
12IJP,166,1,4890
12OZM,87,1,5545
12P2J,241,1,12094
12POU,75,1,45391
12RVR,190,1,18490
12ZT3,233,1,10640
132CO,230,1,7491
13333,341,1,5416
137SW,4,1,24990
138O7,326,1,7654
13912,226,1,6114
13AY4,348,1,19191
13BK0,250,1,25094
13DJG,276,1,26891
13EAV,27,1,21694
13ESP,257,1,13890
13G5Q,132,1,23228
13HZ4,78,1,11590
13JXZ,86,1,26490
13P8F,346,1,9595
13UIH,214,1,6992
13UUO,326,1,3643
13VO4,7,1,16892
13ZKE,308,1,13944
141CK,120,1,1236
1421E,56,1,9394
145KA,172,1,10694
146G4,101,1,18341
146Z1,287,1,21095
14D5X,113,1,11195
14I4V,28,1,26293
14MV4,112,1,13491
14QU2,190,1,11991
14SLY,357,1,15729
14UPM,317,1,18794
14ZHZ,20,1,21719
156RS,169,1,5994
15BAQ,9,1,16342
15BRX,305,1,18992
15CFR,114,1,11790
15DRS,168,1,55590
15EVT,56,1,8995
15FSR,146,1,1413
15HBN,111,1,7993
15HC6,125,1,21801
15IAL,222,1,4194
15LJT,16,1,13863
15OU6,118,1,39344
15PWQ,235,1,5741
15SYX,28,1,9290
15T4D,49,1,13293
15VAB,187,1,3594
15XXQ,73,1,10195
15Y27,11,1,15592
15ZBN,119,1,10331
160BG,317,1,19140
162TL,259,1,7293
1657T,278,1,8995
1672E,246,1,7893
167BF,164,1,36931
16BZS,244,1,8395
16FEQ,16,1,550
16G5L,198,1,10293
16L58,217,1,26293
16LMA,347,1,12841
16POF,8,1,5395
16R88,22,1,11641
16TCY,116,1,5443
16WLG,330,1,19392
16XFS,242,1,3892
16Y7F,279,1,11494
16ZYL,76,1,8794
174G8,190,1,24315
177JM,50,1,4891
17AOE,337,1,1322
17AUX,102,1,2516
17EFR,60,1,1416
17NPM,71,1,15693
17ORC,257,1,3213
17YIS,76,1,5741
1814Q,152,1,5293
1816N,129,1,8643
1865C,16,1,8544
187DU,229,1,3513
1880,337,1,5695
1884U,213,1,17590
189PO,107,1,19592
18CWQ,108,1,6994
18G0O,240,1,17171
18IDA,221,1,24652
18JEM,214,1,8793
18LHB,11,1,10215
18ML9,352,1,15893
18QAY,163,1,11440
18R70,215,1,10892
18T5J,267,1,5744
18U9J,68,1,11290
18UXN,195,1,2257
18VXQ,243,1,6562
191WW,58,1,11495
1920D,9,1,3894
192MS,224,1,14595
1957P,304,1,20991
198QN,288,1,13445
198ZI,341,1,25493
19D5I,82,1,17440
19DO5,129,1,2895
19E0Q,6,1,9395
19J5G,261,1,16491
19KQD,270,1,13692
19MYZ,174,1,7582
19OD5,306,1,17942
19R2L,232,1,21924
19R5O,169,1,38794
19WVR,247,1,6294
1A02J,134,1,25990
1A3DH,359,1,15093
1A468,199,1,13342
1A4NS,93,1,1043
1A88H,21,1,8291
1A8UG,72,1,41694
1ACSJ,3,1,10493
1AHIW,105,1,3444
1AHTN,41,1,43791
1AIRF,125,1,5039
1AJ4W,329,1,12994
1AWAT,265,1,10693
1AWHJ,45,1,9730
1AY82,98,1,15613
1AYT9,212,1,3994
1B4RV,310,1,25292
1B7DE,319,1,8892
1B7WQ,77,1,10292
1B8GI,336,1,8992
1BCSC,324,1,7595
1BF5D,28,1,1979
1BFKD,359,1,8394
1BG0Y,33,1,589
1BHNZ,20,1,10491
1BHSK,61,1,11311
1BOQU,215,1,17890
1BQQP,202,1,45990
1BSXT,146,1,16942
1BVJJ,113,1,12440
1C1SN,306,1,26591
1C35N,164,1,6495
1C63K,100,1,8142
1C69F,49,1,5342
1CDRO,155,1,15841
1CEMI,11,1,9894
1CJT0,125,1,25093
1CM5Q,29,1,2345
1CPA5,221,1,5244
1CSXW,336,1,7723
1CT2T,339,1,2646
1CWHX,216,1,6962
1CXHU,1,1,18690
1D0VF,76,1,17792
1D433,239,1,26593
1D65C,16,1,38590
1D6JT,141,1,14793
1D8BU,98,1,29145
1D9YM,324,1,21193
1DEA6,110,1,7794
1DEDU,28,1,6295
1DF2A,67,1,10694
1DFL6,358,1,23493
1DGL7,321,1,4542
1DHCS,30,1,2523
1DKBW,59,1,15541
1DNMA,219,1,12593
1DNU2,151,1,15393
1DP0M,31,1,12011
1DR3B,281,1,12292
1DZ8B,99,1,9691
1DZ9T,222,1,16891
1E03D,219,1,14393
1E13Y,232,1,799
1E5PC,37,1,9595
1EA45,164,1,5644
1EA7E,107,1,7594
1ECYY,81,1,3195
1EE3Q,236,1,4772
1EHYP,188,1,17590
1EJM9,206,1,8641
1EMDA,98,1,9690
1EP5P,16,1,25393
1EPFA,165,1,2913
1EQHE,66,1,23342
1ER7G,232,1,40343
1EVE6,177,1,10494
1EVFZ,333,1,13295
1F4U9,248,1,8440
1F5F8,271,1,15892
1FAQI,199,1,3513
1FHPH,29,1,8995
1FK6V,251,1,16545
1FL0M,117,1,13195
1FOAS,118,1,18932
1FRRT,94,1,6242
1FTIN,203,1,33240
1FTZC,154,1,4895
1FUEB,148,1,10444
1FX8Y,39,1,5195
1FYKZ,168,1,4482
1FZXA,293,1,7095
1G0S6,124,1,29293
1G7CC,135,1,8144
1G8VH,247,1,2212
1G98P,76,1,16591
1GDAL,62,1,13295
1GJ7I,104,1,26294
1GLNA,289,1,2895
1GQ0P,18,1,13193
1GUW1,115,1,8940
1GXYO,191,1,43992
1GY8F,233,1,8743
1H17O,168,1,26194
1H3NL,297,1,4342
1H3NU,3,1,16941
1H42V,295,1,2056
1H5OQ,190,1,18591
1H62T,250,1,11044
1H64Z,356,1,16591
1H8VR,293,1,3995
1H9C8,174,1,16690
1HB5S,230,1,3744
1HC01,265,1,16294
1HDED,192,1,35995
1HDGA,170,1,9295
1HE03,225,1,37445
1HFB3,80,1,20423
1HHR0,232,1,25890
1HNX9,309,1,21541
1HRNF,54,1,10295
1HSTR,334,1,2843
1HTS1,300,1,614
1HUAQ,43,1,17642
1HVZ3,291,1,4643
1HW5B,266,1,16442
1HWBR,151,1,4744
1HXLG,174,1,4462
1HZHU,113,1,45491
1I0UM,49,1,46490
1I1NO,194,1,15245
1I3MF,100,1,18163
1I4IR,355,1,10141
1I5MA,191,1,10541
1I6OV,54,1,3700
1IBWR,35,1,45491
1ICXH,291,1,15593
1IHOO,281,1,11493
1IIGO,288,1,3713
1IQX5,190,1,13291
1IRTD,227,1,5694
1IU7R,294,1,6792
1IXBS,216,1,15366
1IYBG,331,1,8991
1J11T,190,1,8306
1J4NB,206,1,20144
1J5J1,235,1,6395
1J63F,48,1,2232
1J6MH,330,1,15461
1JCQ8,187,1,9795
1JCWE,108,1,7495
1JEE1,92,1,2695
1JG9B,137,1,17095
1JIYR,205,1,10790
1JKFD,219,1,2393
1JKP6,190,1,10691
1JLQB,356,1,10890
1JQ6H,105,1,19942
1JXYG,19,1,15791
1K0ZE,27,1,7495
1K2R8,118,1,11094
1K411,347,1,9456
1K765,332,1,3794
1K7KR,186,1,7991
1K8RR,76,1,11295
1KA1U,246,1,1920
1KAEZ,234,1,8695
1KCSH,288,1,22090
1KE93,285,1,6279
1KF44,81,1,502
1KGDX,221,1,14740
1KHSD,346,1,17992
1KHXW,290,1,13495
1KKFN,169,1,6694
1KKO9,140,1,23792
1KM4W,199,1,9792
1KNFX,79,1,2056
1KS9Z,68,1,9290
1KTOO,268,1,8495
1KYPN,22,1,16490
1L0Q0,161,1,11193
1L878,283,1,19291
1L9YX,132,1,43694
1LBH4,135,1,12193
1LG7G,130,1,19495
1LPLG,174,1,3287
1LRIR,67,1,24390
1LTDG,46,1,8471
1LTNH,324,1,7942
1LUHC,178,1,7945
1LUQM,243,1,11094
1LZQI,306,1,10590
1M051,333,1,4662
1M19X,179,1,18493
1M1CV,58,1,5543
1M87V,29,1,17144
1MBZN,115,1,4196
1MFNQ,96,1,4795
1MHHZ,310,1,17440
1MIHY,124,1,30990
1MJD3,326,1,8692
1MJM6,348,1,31192
1MKI6,281,1,12194
1MN23,133,1,31407
1MSZH,297,1,3749
1MU1L,47,1,2994
1N1AG,116,1,7562
1N4V5,53,1,11108
1N5QY,33,1,10592
1NA2N,32,1,8794
1NA4Z,140,1,12621
1NED7,335,1,12431
1NILS,211,1,31211
1NMHB,135,1,20942
1NOUQ,229,1,19995
1NOZZ,53,1,49190
1NRDB,206,1,17036
1NS7K,70,1,11295
1NUZN,60,1,8392
1NW84,246,1,10790
1NXT6,121,1,8795
1NZ02,242,1,37290
1O0CN,45,1,4059
1O0P6,291,1,7614
1O1NE,78,1,24892
1O4P3,29,1,2491
1O7KN,261,1,6846
1O828,133,1,30395
1O8Q4,230,1,6541
1ODGZ,20,1,2345
1OEAJ,304,1,7393
1OGEX,184,1,512
1OGKF,211,1,23976
1OIV2,240,1,3475
1OKG8,132,1,9225
1ONFE,359,1,18191
1OU7E,157,1,47440
1OUFR,123,1,29592
1OXCQ,185,1,10992
1P03X,58,1,6343
1P0QT,192,1,5440
1P3CL,246,1,10672
1P5EK,147,1,5144
1P9HC,247,1,21093
1PA4X,180,1,9640
1PH9G,41,1,29123
1PL5S,215,1,15042
1PLGS,351,1,3391
1PMM0,92,1,7795
1PQBC,269,1,23594
1PXX5,16,1,13791
1Q3HX,243,1,10041
1Q4IW,128,1,17391
1Q8AB,78,1,16243
1QH8P,281,1,2812
1QIP7,332,1,1294
1QOYW,191,1,12243
1QS10,224,1,18140
1QTT1,259,1,17290
1QYQ6,56,1,5441
1R4J9,301,1,4757
1R54J,100,1,17295
1R72U,34,1,4895
1R7MZ,23,1,40295
1R8BW,310,1,21790
1R9H2,136,1,2788
1R9PZ,9,1,13841
1RBT4,0,1,20711
1RCM2,270,1,6994
1RCVT,293,1,2388
1RGWM,238,1,1916
1RL8Q,314,1,11045
1RN9L,185,1,17940
1RPCE,33,1,2258
1RQTM,204,1,12790
1RR4F,191,1,46994
1RR7Q,39,1,39593
1RWTU,152,1,8294
1S1DK,281,1,3090
1S54P,31,1,25641
1S7RO,8,1,53140
1S9IN,55,1,11795
1SB2D,241,1,34795
1SG68,215,1,34793
1SGT0,78,1,10445
1SHWP,122,1,26841
1SO39,220,1,1045
1SSQD,325,1,10992
1SWFQ,55,1,7333
1T38K,186,1,19392
1T41J,16,1,11692
1T6FT,297,1,10893
1T81T,80,1,17093
1T9DI,329,1,25990
1T9JA,292,1,9792
1T9LN,231,1,28692
1T9WO,164,1,5645
1TBRX,266,1,1535
1TFJ6,42,1,7194
1TGE4,163,1,8593
1TH6G,115,1,19590
1THH7,345,1,6775
1THSZ,264,1,9492
1TJ6F,161,1,773
1TKKT,102,1,5221
1TLIO,227,1,27841
1TVRJ,216,1,9043
1TXCQ,73,1,1173
1TXEU,137,1,6295
1UG0M,293,1,6842
1UG22,33,1,15194
1UGZR,73,1,8694
1UIM0,76,1,44491
1UIOE,210,1,26682
1UKCR,264,1,32992
1ULUV,239,1,1793
1UMVI,231,1,6995
1UQTX,155,1,3992
1UV17,96,1,16044
1UV65,319,1,13193
1UVGT,53,1,19291
1UWPS,275,1,21091
1UY8W,130,1,876
1V140,199,1,4744
1V236,283,1,8491
1V3K1,312,1,14534
1V4NM,172,1,8394
1V76O,220,1,8494
1V7N9,187,1,5194
1VATL,35,1,54991
1VBK0,118,1,40993
1VC3T,192,1,5944
1VCF0,344,1,2594
1VH71,172,1,1230
1VKLE,204,1,22495
1VL6L,30,1,9945
1VLFK,353,1,4195
1VLWZ,329,1,5045
1VMTU,54,1,9093
1VNW0,310,1,8092
1VNWS,353,1,36392
1VSYX,98,1,5173
1VWU6,46,1,21890
1VY8A,127,1,27840
1W34Z,242,1,5690
1W77H,161,1,19990
1W7K9,277,1,3543
1WA6X,133,1,5990
1WC32,95,1,8695
1WEUP,138,1,13194
1WF3K,156,1,11640
1WL2O,55,1,16243
1WQS3,101,1,35891
1WTHB,43,1,8795
1WVRC,169,1,24913
1WVVC,211,1,17690
1WXQ0,60,1,7446
1WZGX,218,1,5212
1X0Q6,295,1,4095
1X6J4,255,1,9545
1X90Q,32,1,9195
1XB9S,340,1,23890
1XEO1,298,1,6095
1XJ8N,198,1,4244
1XL4H,270,1,5995
1XLF1,318,1,4242
1XLMU,22,1,14293
1XNLC,169,1,5876
1XS9N,324,1,4195
1XSB8,97,1,7894
1XX3O,235,1,2092
1XZAZ,347,1,17695
1Y1KX,135,1,10543
1Y7ED,250,1,7294
1Y7YL,12,1,766
1Y91K,330,1,5909
1YDPD,9,1,26990
1YESS,316,1,13293
1YF9V,122,1,14221
1YG6O,327,1,45741
1YGAC,139,1,16643
1YM5E,223,1,12895
1YNNM,70,1,16194
1YT1X,222,1,18064
1YVDH,177,1,12042
1YVQE,287,1,7194
1YZT6,317,1,9445
1Z013,266,1,4544
1Z0NG,162,1,13093
1Z2XU,247,1,2592
1Z65N,207,1,8593
1Z6WA,129,1,6542
1Z8NT,228,1,31795
1Z8V4,15,1,45140
1ZA3N,7,1,4895
1ZA75,284,1,9694
1ZB9O,18,1,646
1ZEK1,60,1,7444
1ZEYZ,68,1,4341
1ZJ63,93,1,11143
1ZJL0,263,1,4536
1ZJLK,138,1,2441
1ZRXP,51,1,5366
1ZS62,39,1,46991
1ZUTY,135,1,11792
1ZW30,121,1,14493
1ZXYW,343,1,1845
1ZYG6,225,1,8240
1ZYHQ,31,1,11593
1ZZDT,293,1,4365
20057,39,1,18791
201MU,139,1,48943
203SJ,129,1,16390
2074P,240,1,6792
2074Y,194,1,13391
208I9,285,1,6394
20DXG,110,1,811
20FSZ,211,1,5444
20FUK,315,1,13092
20HGY,244,1,41793
20HRO,128,1,9940
20ITE,295,1,8595
20JZC,44,1,10641
20LYN,145,1,16892
20NBF,218,1,43991
20R28,135,1,22990
20U52,268,1,10395
20W09,40,1,2644
20WE9,63,1,14793
20WZ7,75,1,7793
2109S,284,1,13792
212OY,111,1,16191
21GBM,229,1,28390
21HMG,344,1,31294
21JNR,62,1,15794
21OZ3,186,1,43441
21PUE,123,1,5263
21RYB,234,1,7695
21S4A,111,1,22594
21SJ9,216,1,24840
21WHS,135,1,8794
21X90,71,1,1945
221NV,254,1,16492
221UC,165,1,22590
2226A,327,1,13923
222WE,93,1,10893
223RD,91,1,47741
224ND,32,1,3502
2288N,347,1,9791
22CJZ,49,1,6640
22EU1,231,1,1202
22F0G,196,1,23736
22GVA,343,1,760
22GZK,72,1,16092
