customer_id,product
QPBO0,Casual Sneakers
QPBO0,Pull-Up Bar
QPBO0,Massage Gun
QPBO0,Sticky Notes Pack
RU96M,VR Accessory
RU96M,Bluetooth Speaker
RU96M,Charging Cable
RU96M,Laptop Cooling Pad
RU96M,Screen Protector
RU96M,Smartwatch
RU96M,Wired Headphones
RU96M,Portable Hard Drive (1TB)
RU96M,Bluetooth Earbuds
F6G7O,Mineral Water (1L)
F6G7O,Milk (1L)
F6G7O,Rice (1kg)
F6G7O,Sugar (1kg)
F6G7O,Biscuits Pack
F6G7O,Cooking Oil (1L)
F6G7O,Instant Noodles
E9PPC,Bluetooth Earbuds
E9PPC,Phone Case
E9PPC,Gaming Keyboard
E9PPC,Laptop Bag
E9PPC,Smartphone (mid-range)
E9PPC,Wired Headphones
E9PPC,Action Camera
E9PPC,Wireless Charger
E9PPC,Portable Hard Drive (1TB)
6QTQ2,Biscuits Pack
6QTQ2,Chips Pack
6QTQ2,Hair Straightener
6QTQ2,Breakfast Cereal
6QTQ2,Window Blinds
6QTQ2,Eggs (12 pcs)
6QTQ2,Instant Noodles
6QTQ2,Fitness Tracker Band
7RU3G,Baby Feeding Bottle
7RU3G,Sock Shoes
7RU3G,Kids Story Books Set
7RU3G,Kids School Bag
7RU3G,Highlighter Set
7RU3G,Kids Toy Set
7RU3G,Baby Diapers Pack
7RU3G,Baby Food Cereal
NN6WZ,Posture Corrector Belt
NN6WZ,Resistance Bands Set
NN6WZ,Hand Grip Strengthener
NN6WZ,Canvas Shoes
NN6WZ,Hot & Cold Gel Pack
M4S66,Hand Blender
M4S66,Window Blinds
M4S66,Wardrobe Organizer
M4S66,Compact Powder
M4S66,Bath Towel Set
M4S66,Floor Mat
M4S66,Wall Tapestry
M4S66,Heels
M4S66,Pillow Set
M4S66,Blanket
ELPXX,Skipping Rope
ELPXX,Rug / Carpet
ELPXX,Yoga Mat
ELPXX,Multivitamin Supplements
ELPXX,Pull-Up Bar
9589Q,Jeans
9589Q,Women Top
9589Q,Innerwear Set
9589Q,Saree
9589Q,Shorts / Skirt
9589Q,Tie & Belt Set
XSJ8F,Eraser Pack
XSJ8F,Baby Soap
XSJ8F,Diary / Planner
XSJ8F,Notebook (200 Pages)
XSJ8F,Glue Stick Pack
XSJ8F,Marker Pen Set
XSJ8F,Exam Pad
XSJ8F,Desk Organizer
LS67R,Lipstick
LS67R,Makeup Brush Set
LS67R,Hair Dryer
LS67R,Sunscreen SPF 50
LS67R,Shaving Kit
LS67R,Face Wash
LS67R,Milk (1L)
LS67R,Kids School Bag
LS67R,Face Serum
LS67R,Shampoo
3YI5I,Deodorant Spray
3YI5I,Packed Juice
3YI5I,Instant Noodles
3YI5I,Tea Pack
3YI5I,Premium Biscuits
3YI5I,Wheat Flour (1kg)
K2ONG,Socks
K2ONG,Tea/Coffee Sachet
K2ONG,Scarf / Stole
K2ONG,Saree
K2ONG,Bluetooth Earbuds
K2ONG,Women Dress
4GANJ,Milk (1L)
4GANJ,Mineral Water (1L)
4GANJ,Premium Biscuits
4GANJ,Baby Mosquito Net
4GANJ,Breakfast Cereal
4GANJ,Door Mat
4GANJ,Salt (1kg)
4GANJ,Hand Grip Strengthener
4GANJ,Packed Juice
49CCW,Compact Powder
49CCW,Deodorant Spray
49CCW,Moisturizer Cream
49CCW,Makeup Brush Set
49CCW,Sunscreen SPF 50
49CCW,Hair Straightener
49CCW,Face Wash
49CCW,Hair Dryer
49CCW,Conditioner
F13R9,Wheat Flour (1kg)
F13R9,Rice (1kg)
F13R9,Eggs (12 pcs)
F13R9,Sauce Bottle
F13R9,Chips Pack
F13R9,Premium Biscuits
F13R9,Pulses (1kg)
F13R9,Cooking Oil (1L)
3N714,Kids Ethnic Wear
3N714,Face Serum
3N714,Hair Straightener
3N714,Calculator
3N714,Shaving Kit
3EU0W,Wardrobe Organizer
3EU0W,Rug / Carpet
3EU0W,Cushion Covers
3EU0W,Curtains Set
3EU0W,Mules / Clogs
3EU0W,Sofa Cushion Set
I20J6,Pillow Set
I20J6,Laptop Cooling Pad
I20J6,Charging Cable
I20J6,Multivitamin Supplements
I20J6,Gaming Keyboard
I20J6,USB Flash Drive (32GB)
I20J6,Bluetooth Earbuds
I20J6,Wireless Charger
I20J6,Car Bluetooth FM Transmitter
I20J6,Phone Case
GT6EJ,Beard Trimmer
GT6EJ,Perfume
GT6EJ,Nail Grooming Kit
GT6EJ,Shampoo
GT6EJ,Deodorant Spray
3.40E+60,Sports Sandals
3.40E+60,Sandals / Slippers
3.40E+60,Slip Ons
3.40E+60,Sock Shoes
3.40E+60,Loafers
3.40E+60,Kids School Bag
Q87GT,Notebook (200 Pages)
Q87GT,Ball Pen Pack
Q87GT,Glue Stick Pack
Q87GT,Coffee Pack
Q87GT,Office File Folder
PA2S7,Orthopedic Shoes
PA2S7,Pressure Cooker (3L)
PA2S7,Mules / Clogs
PA2S7,Slip Ons
PA2S7,Kids Sandals
PA2S7,Sports Shoes
PA2S7,Casual Sneakers
PA2S7,Formal Shoes
XEYII,Tie & Belt Set
XEYII,Spice Box (Masala Dabba)
XEYII,Men T-Shirt
XEYII,Kids Ethnic Wear
XEYII,Activewear
I0V6K,Dumbbells Set
I0V6K,Bath Towel Set
I0V6K,Foam Roller
I0V6K,Hand Grip Strengthener
I0V6K,Eraser Pack
I0V6K,Hot & Cold Gel Pack
9O2HN,Electric Chimney
9O2HN,Water Purifier (Non-Electric)
9O2HN,Mixer Grinder
9O2HN,Spice Box (Masala Dabba)
9O2HN,Chopping Board
TZAY0,Baby Cradle
TZAY0,Rug / Carpet
TZAY0,Baby Wipes
TZAY0,Kids Lunch Box
TZAY0,Kids Toy Set
TZAY0,Baby Bath Tub
KC55V,Baby Soap
KC55V,Kids Toy Set
KC55V,Baby Stroller
KC55V,Baby Cradle
KC55V,Non-Stick Frying Pan
KC55V,Kids Water Bottle
KC55V,Baby Shampoo
KC55V,Baby Feeding Bottle
KC55V,Baby Food Cereal
KC55V,Kids Story Books Set
XTXUU,USB Flash Drive (32GB)
XTXUU,Smartphone (mid-range)
XTXUU,Smartwatch
XTXUU,Kids T-Shirt
XTXUU,Wireless Charger
XTXUU,Bluetooth Speaker
XTXUU,Foam Roller
XTXUU,Webcam
XTXUU,Laptop Bag
DOQ4O,Kids Water Bottle
DOQ4O,Baby Lotion
DOQ4O,Baby Feeding Bottle
DOQ4O,Kids Clothing Set
DOQ4O,Kids School Bag
DOQ4O,Ball Pen Pack
ZR9HA,Shampoo
ZR9HA,Face Wash
ZR9HA,Beard Trimmer
ZR9HA,Calculator
ZR9HA,Bluetooth Speaker
6Z0YA,Hair Dryer
6Z0YA,Compact Powder
6Z0YA,Moisturizer Cream
6Z0YA,Face Serum
6Z0YA,Body Lotion
6Z0YA,Kajal / Eyeliner
6Z0YA,Sunscreen SPF 50
6Z0YA,Face Wash
6Z0YA,Hair Straightener
6Z0YA,Conditioner
37XTO,Screen Protector
37XTO,Laptop Bag
37XTO,Sugar (1kg)
37XTO,Webcam
37XTO,Smartwatch
37XTO,Car Bluetooth FM Transmitter
37XTO,Gaming Keyboard
69JL6,Dumbbells Set
69JL6,Milk (1L)
69JL6,Ankle Weights Set
69JL6,Protein Powder
69JL6,Hand Grip Strengthener
69JL6,Baby Food Cereal
LV02S,Casual Sneakers
LV02S,VR Accessory
LV02S,Cap / Hat
LV02S,Jacket / Hoodie
LV02S,Women Dress
LV02S,Tie & Belt Set
BQEW6,Sock Shoes
BQEW6,Slip Ons
BQEW6,Formal Shoes
BQEW6,Flip Flops
BQEW6,Loafers
BQEW6,Kids Clothing Set
BQEW6,Trekking Shoes
BQEW6,Dish Drying Rack
BQEW6,Heels
YNLD7,Pulses (1kg)
YNLD7,Eggs (12 pcs)
YNLD7,Cooking Oil (1L)
YNLD7,Ballet Flats
YNLD7,Fitness Tracker Band
YNLD7,Pencil Box Set
YNLD7,Chips Pack
YNLD7,Instant Noodles
YNLD7,Salt (1kg)
YNLD7,Sugar (1kg)
DFA87,Water Purifier (Non-Electric)
DFA87,Hand Blender
DFA87,Kitchen Storage Container Set
DFA87,Ball Pen Pack
DFA87,Pressure Cooker (3L)
TCBIL,Women Dress
TCBIL,Spice Box (Masala Dabba)
TCBIL,Kurti
TCBIL,Ballet Flats
TCBIL,Leggings
TCBIL,Notebook (200 Pages)
TCBIL,Women Top
TCBIL,Cap / Hat
52Q3B,Kitchen Storage Container Set
52Q3B,Water Purifier (Non-Electric)
52Q3B,Electric Kettle
52Q3B,Water Bottle Set (Steel)
52Q3B,Wall Tapestry
52Q3B,Electric Chimney
52Q3B,Toaster
52Q3B,Spice Box (Masala Dabba)
52Q3B,Mixer Grinder
52Q3B,Pressure Cooker (3L)
AXNQR,Toaster
AXNQR,Gas Stove (2 Burner)
AXNQR,Non-Stick Frying Pan
AXNQR,Electric Kettle
AXNQR,Pressure Cooker (3L)
AXNQR,Dinner Set (24 Pieces)
AXNQR,Thermos Flask
AXNQR,Hand Blender
AXNQR,Mixer Grinder
AXNQR,Kitchen Storage Container Set
SP9Q8,Trekking Shoes
SP9Q8,Rug / Carpet
SP9Q8,Boots
SP9Q8,Kids Sandals
SP9Q8,Dumbbells Set
Y4XQA,Toaster
Y4XQA,Spice Box (Masala Dabba)
Y4XQA,Electric Kettle
Y4XQA,Pressure Cooker (3L)
Y4XQA,Rice Cooker
Y4XQA,Thermos Flask
KMY8P,Ball Pen Pack
KMY8P,Marker Pen Set
KMY8P,Sticky Notes Pack
KMY8P,Pencil Box Set
KMY8P,Formal Shirt
KMY8P,Baby Carrier
07OZR,Baby Soap
07OZR,Rice (1kg)
07OZR,Canvas Shoes
07OZR,Baby Diapers Pack
07OZR,Baby Stroller
07OZR,Kids Story Books Set
07OZR,Baby Shampoo
CE1CH,Men T-Shirt
CE1CH,Formal Shirt
CE1CH,Women Dress
CE1CH,Leggings
CE1CH,Socks
CE1CH,Tie & Belt Set
8JCW5,Kids School Bag
8JCW5,Baby Soap
8JCW5,Shampoo
8JCW5,Hair Straightener
8JCW5,Perfume
8JCW5,Nail Grooming Kit
8JCW5,Makeup Brush Set
8JCW5,Hair Oil
8JCW5,Kids Ethnic Wear
8JCW5,Kajal / Eyeliner
DPW5W,Men T-Shirt
DPW5W,Cap / Hat
DPW5W,Jeans
DPW5W,Exercise Cycle
DPW5W,Cooking Oil (1L)
DPW5W,Wardrobe Organizer
DPW5W,Socks
DPW5W,Women Top
DPW5W,Formal Shirt
XU8N6,School Shoes
XU8N6,Sandals / Slippers
XU8N6,Shaving Kit
XU8N6,Formal Shoes
XU8N6,Leather Footwear
XU8N6,Loafers
XU8N6,Kids Sandals
XU8N6,Slides
XU8N6,Heels
XU8N6,Kids Shoes
DWS6F,Drawing Book
DWS6F,Chopping Board
DWS6F,Dinner Set (24 Pieces)
DWS6F,Electric Chimney
DWS6F,Pressure Cooker (3L)
DWS6F,Formal Shirt
FPJ7S,Water Bottle Set (Steel)
FPJ7S,Mineral Water (1L)
FPJ7S,Pressure Cooker (3L)
FPJ7S,Rice (1kg)
FPJ7S,Toaster
FPJ7S,Electric Kettle
FPJ7S,Water Purifier (Non-Electric)
FPJ7S,Dish Drying Rack
FPJ7S,Webcam
416O4,Chips Pack
416O4,Sofa Cushion Set
416O4,Biscuits Pack
416O4,Sauce Bottle
416O4,Shorts / Skirt
416O4,Tea Pack
UC100,Kids Shoes
UC100,Gel Pen Pack
UC100,Mixer Grinder
UC100,Spice Box (Masala Dabba)
UC100,Gas Stove (2 Burner)
UC100,Dish Drying Rack
UC100,Pressure Cooker (3L)
UC100,Kitchen Storage Container Set
UC100,Toaster
ATISZ,Laptop Cooling Pad
ATISZ,Smartphone (mid-range)
ATISZ,Laundry Basket
ATISZ,Bluetooth Speaker
ATISZ,Shaving Kit
ATISZ,Wireless Charger
ATISZ,Kids Story Books Set
EFFZ2,Hot & Cold Gel Pack
EFFZ2,Posture Corrector Belt
EFFZ2,Protein Powder
EFFZ2,Exercise Cycle
EFFZ2,Resistance Bands Set
EFFZ2,Ankle Weights Set
EFFZ2,Hair Oil
EFFZ2,Blood Pressure Monitor
QD3B0,Baby Lotion
QD3B0,Phone Case
QD3B0,Car Bluetooth FM Transmitter
QD3B0,Action Camera
QD3B0,Resistance Bands Set
QD3B0,Power Bank
CXT9Q,Hand Grip Strengthener
CXT9Q,VR Accessory
CXT9Q,Leather Footwear
CXT9Q,Charging Cable
CXT9Q,Webcam
CXT9Q,Screen Protector
UY93N,Trekking Shoes
UY93N,Calculator
UY93N,Eraser Pack
UY93N,Drawing Book
UY93N,Highlighter Set
UY93N,Desk Organizer
UY93N,Notebook (200 Pages)
UY93N,Pencil Box Set
UY93N,Office File Folder
UY93N,Stapler with Pins
3JKIH,Exam Pad
3JKIH,Sticky Notes Pack
3JKIH,Highlighter Set
3JKIH,Notebook (200 Pages)
3JKIH,Diary / Planner
3JKIH,Marker Pen Set
3JKIH,Ball Pen Pack
3JKIH,Gel Pen Pack
3JKIH,Drawing Book
3JKIH,School Backpack
CPCOX,Premium Biscuits
CPCOX,Slides
CPCOX,Sauce Bottle
CPCOX,Eggs (12 pcs)
CPCOX,Breakfast Cereal
CPCOX,Pulses (1kg)
CPCOX,Salt (1kg)
CPCOX,Rice (1kg)
CPCOX,Sticky Notes Pack
CPCOX,Sugar (1kg)
U13O0,Massage Gun
U13O0,Protein Powder
U13O0,Hot & Cold Gel Pack
U13O0,Hand Grip Strengthener
U13O0,Foam Roller
U13O0,Treadmill (Manual)
LG5TL,Door Mat
LG5TL,Ironing Board
LG5TL,Window Blinds
LG5TL,Laundry Basket
LG5TL,Shoe Rack
LG5TL,Wardrobe Organizer
LG5TL,Mattress Protector
7JCZF,Pulses (1kg)
7JCZF,Biscuits Pack
7JCZF,Packed Juice
7JCZF,Coffee Pack
7JCZF,Sugar (1kg)
7JCZF,Bread Loaf
7JCZF,Multivitamin Supplements
NZU3N,Microwave Oven
NZU3N,Water Purifier (Non-Electric)
NZU3N,Spice Box (Masala Dabba)
NZU3N,Dinner Set (24 Pieces)
NZU3N,Dish Drying Rack
NZU3N,Kitchen Storage Container Set
NZU3N,Pressure Cooker (3L)
NZU3N,Boots
NZU3N,Toaster
RQ32K,Women Dress
RQ32K,Wired Headphones
RQ32K,Power Bank
RQ32K,Wireless Charger
RQ32K,Kids Water Bottle
RQ32K,Door Mat
RQ32K,Webcam
00YXR,Salt (1kg)
00YXR,Art Color Set
00YXR,Kids Shoes
00YXR,Baby Stroller
00YXR,Kids Water Bottle
00YXR,Baby Diapers Pack
4ZMNV,Dish Drying Rack
4ZMNV,Chopping Board
4ZMNV,Hand Blender
4ZMNV,Water Purifier (Non-Electric)
4ZMNV,Compact Powder
4ZMNV,Spice Box (Masala Dabba)
4ZMNV,Printer Paper (A4 Pack)
4ZMNV,Electric Chimney
4ZMNV,Milk (1L)
6ZPX1,Sauce Bottle
6ZPX1,Mineral Water (1L)
6ZPX1,Coffee Pack
6ZPX1,Breakfast Cereal
6ZPX1,Premium Biscuits
6ZPX1,Wheat Flour (1kg)
6ZPX1,Pulses (1kg)
6ZPX1,Cooking Oil (1L)
6ZPX1,Salt (1kg)
33IYI,Skipping Rope
33IYI,Pull-Up Bar
33IYI,Foam Roller
33IYI,Wardrobe Organizer
33IYI,Dumbbells Set
33IYI,Marker Pen Set
QX1VQ,Sports Sandals
QX1VQ,Sandals / Slippers
QX1VQ,Slides
QX1VQ,Canvas Shoes
QX1VQ,Ballet Flats
QX1VQ,Orthopedic Shoes
QX1VQ,Wall Tapestry
QX1VQ,Mules / Clogs
MVYLK,Casual Sneakers
MVYLK,Sandals / Slippers
MVYLK,Chips Pack
MVYLK,Kids Sandals
MVYLK,Leather Footwear
MVYLK,Loafers
MVYLK,Slides
MVYLK,Sports Shoes
GT8RB,Tea Pack
GT8RB,Eggs (12 pcs)
GT8RB,Biscuits Pack
GT8RB,Tea/Coffee Sachet
GT8RB,Breakfast Cereal
GT8RB,Printer Paper (A4 Pack)
DVH8K,Hair Oil
DVH8K,Lipstick
DVH8K,Sunscreen SPF 50
DVH8K,Deodorant Spray
DVH8K,Makeup Brush Set
DVH8K,Body Lotion
UKN67,Ironing Board
UKN67,Curtains Set
UKN67,Chair Cover Set
UKN67,Rug / Carpet
UKN67,Window Blinds
4I7RK,Blanket
4I7RK,Door Mat
4I7RK,Wall Tapestry
4I7RK,Sofa Cushion Set
4I7RK,Cushion Covers
4I7RK,Wardrobe Organizer
4I7RK,Foldable Storage Box
4I7RK,Window Blinds
62Y1S,Wall Tapestry
62Y1S,Rug / Carpet
62Y1S,Window Blinds
62Y1S,Curtains Set
62Y1S,Ironing Board
KE7OJ,Kids Story Books Set
KE7OJ,Nightwear Set
KE7OJ,Baby Soap
KE7OJ,Baby Shampoo
KE7OJ,Women Dress
KE7OJ,Baby Mosquito Net
KE7OJ,Kids Water Bottle
KE7OJ,Foldable Storage Box
KE7OJ,Baby Feeding Bottle
DT87U,Electric Kettle
DT87U,Ankle Weights Set
DT87U,Exercise Cycle
DT87U,Digital Weighing Scale
DT87U,Foam Roller
DT87U,Fitness Tracker Band
DT87U,Dumbbells Set
DT87U,Multivitamin Supplements
DT87U,Yoga Mat
DT87U,Blood Pressure Monitor
M8VAQ,Bread Loaf
M8VAQ,Premium Biscuits
M8VAQ,Biscuits Pack
M8VAQ,Mineral Water (1L)
M8VAQ,Pulses (1kg)
M8VAQ,Instant Noodles
M8VAQ,Sports Shoes
QRHPW,Kids T-Shirt
QRHPW,Shorts / Skirt
QRHPW,Kids Ethnic Wear
QRHPW,Cap / Hat
QRHPW,Innerwear Set
QRHPW,Activewear
QRHPW,Yoga Mat
QRHPW,Women Dress
QRHPW,Tie & Belt Set
QRHPW,Men T-Shirt
R3V1D,Bedsheet (Double)
R3V1D,Curtains Set
R3V1D,Pillow Set
R3V1D,Cushion Covers
R3V1D,Window Blinds
R3V1D,Ironing Board
R3V1D,Foldable Storage Box
R3V1D,Shoe Rack
R3V1D,Door Mat
4N0X0,Pull-Up Bar
4N0X0,Dumbbells Set
4N0X0,Foam Roller
4N0X0,Posture Corrector Belt
4N0X0,Hot & Cold Gel Pack
4N0X0,Yoga Mat
4N0X0,Resistance Bands Set
4N0X0,Protein Powder
4N0X0,Kettlebell
4N0X0,Exercise Cycle
LW8WE,Pillow Set
LW8WE,Baby Cradle
LW8WE,Kids Story Books Set
LW8WE,Baby Bath Tub
LW8WE,Dinner Set (24 Pieces)
LW8WE,Kids Clothing Set
LW8WE,Baby Stroller
LW8WE,Kids Cycle
LW8WE,Baby Mosquito Net
S69OC,Induction Cooktop
S69OC,Pressure Cooker (3L)
S69OC,Socks
S69OC,Kitchen Storage Container Set
S69OC,Water Bottle Set (Steel)
S69OC,Spice Box (Masala Dabba)
W2CCB,Kids School Bag
W2CCB,Baby Food Cereal
W2CCB,Hair Dryer
W2CCB,Baby Wipes
W2CCB,Rug / Carpet
W2CCB,Baby Soap
W2CCB,Baby Stroller
W2CCB,Baby Lotion
W2CCB,Kids Story Books Set
W2CCB,Kids Shoes
6ASO4,Hair Oil
6ASO4,Compact Powder
6ASO4,Shaving Kit
6ASO4,Nail Grooming Kit
6ASO4,Lipstick
6ASO4,Deodorant Spray
6ASO4,Sunscreen SPF 50
6ASO4,Face Serum
6ASO4,Face Wash
6ASO4,Conditioner
YUM80,Chips Pack
YUM80,Bread Loaf
YUM80,Rice (1kg)
YUM80,Sauce Bottle
YUM80,Phone Case
YUM80,Kids Sandals
KUJR1,Spice Box (Masala Dabba)
KUJR1,Microwave Oven
KUJR1,Induction Cooktop
KUJR1,Socks
KUJR1,Electric Chimney
KUJR1,Water Bottle Set (Steel)
KUJR1,Electric Kettle
6IFMV,Bluetooth Earbuds
6IFMV,Heels
6IFMV,VR Accessory
6IFMV,Laptop Bag
6IFMV,Car Bluetooth FM Transmitter
6IFMV,Bluetooth Speaker
6IFMV,Screen Protector
6IFMV,Leggings
6IFMV,Power Bank
6IFMV,Fitness Tracker
Y7JOL,Men T-Shirt
Y7JOL,Scarf / Stole
Y7JOL,Women Dress
Y7JOL,Formal Shirt
Y7JOL,Casual Shirt
Y7JOL,Kids Ethnic Wear
Y7JOL,Leggings
Y7JOL,Kids T-Shirt
0JLRP,Window Blinds
0JLRP,Foldable Storage Box
0JLRP,Wall Tapestry
0JLRP,Wardrobe Organizer
0JLRP,Pressure Cooker (3L)
0JLRP,Power Bank
0JLRP,Screen Protector
3GOWY,Sauce Bottle
3GOWY,Packed Juice
3GOWY,Cooking Oil (1L)
3GOWY,Tea/Coffee Sachet
3GOWY,Premium Biscuits
O3YP3,Wireless Charger
O3YP3,Men T-Shirt
O3YP3,Innerwear Set
O3YP3,Dinner Set (24 Pieces)
O3YP3,Scarf / Stole
O3YP3,Nightwear Set
4SG0X,Perfume
4SG0X,Jacket / Hoodie
4SG0X,Face Wash
4SG0X,Shampoo
4SG0X,Body Lotion
4SG0X,Makeup Brush Set
J2XMR,Scarf / Stole
J2XMR,Kurti
J2XMR,Shorts / Skirt
J2XMR,Screen Protector
J2XMR,Casual Shirt
J2XMR,Activewear
J2XMR,Jacket / Hoodie
J2XMR,Kids Shoes
J2XMR,Jeans
J2XMR,Socks
GJHGI,Resistance Bands Set
GJHGI,Window Blinds
GJHGI,Bath Towel Set
GJHGI,Rug / Carpet
GJHGI,Pillow Set
GJHGI,Wall Tapestry
GJHGI,Cushion Covers
GJHGI,Sofa Cushion Set
BAW8B,Formal Shoes
BAW8B,Sock Shoes
BAW8B,Baby Shampoo
BAW8B,Casual Sneakers
BAW8B,Loafers
BAW8B,Slides
BAW8B,Ballet Flats
OMJIO,Mattress Protector
OMJIO,Cushion Covers
OMJIO,Notebook (200 Pages)
OMJIO,Wall Tapestry
OMJIO,Pillow Set
OMJIO,Ironing Board
OMJIO,Window Blinds
OMJIO,Baby Shampoo
OMJIO,Floor Mat
OY04X,Hand Blender
OY04X,Non-Stick Frying Pan
OY04X,Pressure Cooker (3L)
OY04X,Rice Cooker
OY04X,Water Purifier (Non-Electric)
OY04X,Dish Drying Rack
OY04X,Water Bottle Set (Steel)
OY04X,Induction Cooktop
9LAMK,Lipstick
9LAMK,Wired Headphones
9LAMK,Kajal / Eyeliner
9LAMK,Beard Trimmer
9LAMK,Shaving Kit
9LAMK,Makeup Brush Set
AXFQL,Biscuits Pack
AXFQL,Packed Juice
AXFQL,Premium Biscuits
AXFQL,Tea/Coffee Sachet
AXFQL,Mineral Water (1L)
AXFQL,Eggs (12 pcs)
AXFQL,Cooking Oil (1L)
N5DZZ,Men T-Shirt
N5DZZ,Perfume
